subject	group	syllable	usage	treat
21	2	18	0.014685	Ariadne_10
13	0	18	0.015237	Saline
1	0	19	0.024490	Saline
6	2	19	0.011501	Ariadne_10
3	2	19	0.021791	Ariadne_10
14	1	19	0.016406	Ariadne_3
16	0	19	0.029463	Saline
19	0	19	0.020502	Saline
9	2	19	0.015747	Ariadne_10
8	1	19	0.015576	Ariadne_3
7	0	19	0.031883	Saline
10	0	19	0.011701	Saline
17	1	19	0.021876	Ariadne_3
22	1	19	0.011741	Ariadne_3
15	2	19	0.010181	Ariadne_10
4	0	19	0.021442	Saline
12	2	19	0.027977	Ariadne_10
11	1	19	0.003151	Ariadne_3
2	1	19	0.011381	Ariadne_3
18	2	19	0.004770	Ariadne_10
23	2	19	0.020337	Ariadne_10
20	1	19	0.013113	Ariadne_3
5	1	19	0.016713	Ariadne_3
21	2	19	0.007041	Ariadne_10
13	0	19	0.012831	Saline
1	0	20	0.008006	Saline
6	2	20	0.014108	Ariadne_10
3	2	20	0.000566	Ariadne_10
14	1	20	0.019844	Ariadne_3
16	0	20	0.004600	Saline
19	0	20	0.035938	Saline
9	2	20	0.029631	Ariadne_10
8	1	20	0.006386	Ariadne_3
7	0	20	0.016299	Saline
10	0	20	0.015194	Saline
17	1	20	0.042965	Ariadne_3
22	1	20	0.014676	Ariadne_3
15	2	20	0.006033	Ariadne_10
4	0	20	0.020648	Saline
12	2	20	0.025312	Ariadne_10
11	1	20	0.000286	Ariadne_3
2	1	20	0.007276	Ariadne_3
18	2	20	0.005451	Ariadne_10
23	2	20	0.035589	Ariadne_10
20	1	20	0.027926	Ariadne_3
5	1	20	0.017919	Ariadne_3
21	2	20	0.031784	Ariadne_10
13	0	20	0.007351	Saline
1	0	21	0.004239	Saline
6	2	21	0.002607	Ariadne_10
3	2	21	0.014716	Ariadne_10
14	1	21	0.008750	Ariadne_3
16	0	21	0.004102	Saline
19	0	21	0.077665	Saline
9	2	21	0.002201	Ariadne_10
8	1	21	0.023364	Ariadne_3
7	0	21	0.013792	Saline
10	0	21	0.016591	Saline
17	1	21	0.004092	Ariadne_3
22	1	21	0.008439	Ariadne_3
15	2	21	0.007541	Ariadne_10
4	0	21	0.034466	Saline
12	2	21	0.016653	Ariadne_10
11	1	21	0.062446	Ariadne_3
2	1	21	0.004851	Ariadne_3
18	2	21	0.062692	Ariadne_10
23	2	21	0.007467	Ariadne_10
20	1	21	0.038125	Ariadne_3
5	1	21	0.014128	Ariadne_3
21	2	21	0.025347	Ariadne_10
13	0	21	0.004678	Saline
1	0	22	0.010832	Saline
6	2	22	0.019169	Ariadne_10
3	2	22	0.006368	Ariadne_10
14	1	22	0.023438	Ariadne_3
16	0	22	0.018896	Saline
19	0	22	0.009165	Saline
9	2	22	0.011683	Ariadne_10
8	1	22	0.015421	Ariadne_3
7	0	22	0.015762	Saline
10	0	22	0.022005	Saline
17	1	22	0.029745	Ariadne_3
22	1	22	0.013759	Ariadne_3
15	2	22	0.013198	Ariadne_10
4	0	22	0.017630	Saline
12	2	22	0.011990	Ariadne_10
11	1	22	0.018333	Ariadne_3
2	1	22	0.021455	Ariadne_3
18	2	22	0.003748	Ariadne_10
23	2	22	0.016841	Ariadne_10
20	1	22	0.010199	Ariadne_3
5	1	22	0.013439	Ariadne_3
21	2	22	0.023738	Ariadne_10
13	0	22	0.021117	Saline
1	0	23	0.008948	Saline
6	2	23	0.011348	Ariadne_10
3	2	23	0.015848	Ariadne_10
14	1	23	0.008750	Ariadne_3
16	0	23	0.023993	Saline
19	0	23	0.024361	Saline
9	2	23	0.003556	Ariadne_10
8	1	23	0.026480	Ariadne_3
7	0	23	0.036898	Saline
10	0	23	0.007859	Saline
17	1	23	0.006138	Ariadne_3
22	1	23	0.010640	Ariadne_3
15	2	23	0.007164	Ariadne_10
4	0	23	0.033355	Saline
12	2	23	0.029642	Ariadne_10
11	1	23	0.018046	Ariadne_3
2	1	23	0.003545	Ariadne_3
18	2	23	0.013629	Ariadne_10
23	2	23	0.026374	Ariadne_10
20	1	23	0.015784	Ariadne_3
5	1	23	0.014645	Ariadne_3
21	2	23	0.008851	Ariadne_10
13	0	23	0.011762	Saline
1	0	24	0.006907	Saline
6	2	24	0.007361	Ariadne_10
3	2	24	0.018820	Ariadne_10
14	1	24	0.006406	Ariadne_3
16	0	24	0.005097	Saline
19	0	24	0.008924	Saline
9	2	24	0.002201	Ariadne_10
8	1	24	0.021184	Ariadne_3
7	0	24	0.007165	Saline
10	0	24	0.024625	Saline
17	1	24	0.006453	Ariadne_3
22	1	24	0.014309	Ariadne_3
15	2	24	0.010370	Ariadne_10
4	0	24	0.017948	Saline
12	2	24	0.052123	Ariadne_10
11	1	24	0.017187	Ariadne_3
2	1	24	0.006903	Ariadne_3
18	2	24	0.024191	Ariadne_10
23	2	24	0.033683	Ariadne_10
20	1	24	0.016756	Ariadne_3
5	1	24	0.005169	Ariadne_3
21	2	24	0.045464	Ariadne_10
13	0	24	0.012563	Saline
1	0	25	0.022920	Saline
6	2	25	0.014568	Ariadne_10
3	2	25	0.029150	Ariadne_10
14	1	25	0.007656	Ariadne_3
16	0	25	0.040776	Saline
19	0	25	0.006512	Saline
9	2	25	0.001185	Ariadne_10
8	1	25	0.021651	Ariadne_3
7	0	25	0.030450	Saline
10	0	25	0.007684	Saline
17	1	25	0.011174	Ariadne_3
22	1	25	0.016144	Ariadne_3
15	2	25	0.003394	Ariadne_10
4	0	25	0.019536	Saline
12	2	25	0.012823	Ariadne_10
11	1	25	0.004870	Ariadne_3
2	1	25	0.002425	Ariadne_3
18	2	25	0.000341	Ariadne_10
23	2	25	0.029075	Ariadne_10
20	1	25	0.003885	Ariadne_3
5	1	25	0.007236	Ariadne_3
21	2	25	0.003822	Ariadne_10
13	0	25	0.017241	Saline
1	0	26	0.024176	Saline
6	2	26	0.017175	Ariadne_10
3	2	26	0.044715	Ariadne_10
14	1	26	0.011406	Ariadne_3
16	0	26	0.018150	Saline
19	0	26	0.011095	Saline
9	2	26	0.001355	Ariadne_10
8	1	26	0.009034	Ariadne_3
7	0	26	0.012717	Saline
10	0	26	0.016416	Saline
17	1	26	0.012276	Ariadne_3
22	1	26	0.011374	Ariadne_3
15	2	26	0.006976	Ariadne_10
4	0	26	0.028907	Saline
12	2	26	0.014155	Ariadne_10
11	1	26	0.020338	Ariadne_3
2	1	26	0.008769	Ariadne_3
18	2	26	0.002385	Ariadne_10
23	2	26	0.010804	Ariadne_10
20	1	26	0.010685	Ariadne_3
5	1	26	0.008615	Ariadne_3
21	2	26	0.002615	Ariadne_10
13	0	26	0.020182	Saline
1	0	27	0.050392	Saline
6	2	27	0.016102	Ariadne_10
3	2	27	0.023914	Ariadne_10
14	1	27	0.007656	Ariadne_3
16	0	27	0.027225	Saline
19	0	27	0.002653	Saline
9	2	27	0.004572	Ariadne_10
8	1	27	0.009813	Ariadne_3
7	0	27	0.018091	Saline
10	0	27	0.017988	Saline
17	1	27	0.016210	Ariadne_3
22	1	27	0.013759	Ariadne_3
15	2	27	0.003771	Ariadne_10
4	0	27	0.004924	Saline
12	2	27	0.009326	Ariadne_10
11	1	27	0.003724	Ariadne_3
2	1	27	0.016604	Ariadne_3
18	2	27	0.000681	Ariadne_10
23	2	27	0.015094	Ariadne_10
20	1	27	0.001700	Ariadne_3
5	1	27	0.005686	Ariadne_3
21	2	27	0.001609	Ariadne_10
13	0	27	0.034349	Saline
1	0	28	0.008006	Saline
6	2	28	0.013342	Ariadne_10
3	2	28	0.017688	Ariadne_10
14	1	28	0.020313	Ariadne_3
16	0	28	0.012556	Saline
19	0	28	0.008683	Saline
9	2	28	0.014223	Ariadne_10
8	1	28	0.012150	Ariadne_3
7	0	28	0.011105	Saline
10	0	28	0.011701	Saline
17	1	28	0.011646	Ariadne_3
22	1	28	0.015960	Ariadne_3
15	2	28	0.008484	Ariadne_10
4	0	28	0.005877	Saline
12	2	28	0.013489	Ariadne_10
11	1	28	0.010885	Ariadne_3
2	1	28	0.019403	Ariadne_3
18	2	28	0.004429	Ariadne_10
23	2	28	0.021290	Ariadne_10
20	1	28	0.013356	Ariadne_3
5	1	28	0.017746	Ariadne_3
21	2	28	0.017300	Ariadne_10
13	0	28	0.036087	Saline
1	0	29	0.013972	Saline
6	2	29	0.009354	Ariadne_10
3	2	29	0.011462	Ariadne_10
14	1	29	0.009688	Ariadne_3
16	0	29	0.002238	Saline
19	0	29	0.034973	Saline
9	2	29	0.005080	Ariadne_10
8	1	29	0.003583	Ariadne_3
7	0	29	0.004120	Saline
10	0	29	0.005239	Saline
17	1	29	0.011489	Ariadne_3
22	1	29	0.024399	Ariadne_3
15	2	29	0.011312	Ariadne_10
4	0	29	0.002859	Saline
12	2	29	0.008826	Ariadne_10
11	1	29	0.056431	Ariadne_3
2	1	29	0.019776	Ariadne_3
18	2	29	0.066780	Ariadne_10
23	2	29	0.006673	Ariadne_10
20	1	29	0.026469	Ariadne_3
5	1	29	0.018608	Ariadne_3
21	2	29	0.007644	Ariadne_10
13	0	29	0.005213	Saline
1	0	30	0.027316	Saline
6	2	30	0.012881	Ariadne_10
