subject	group	syllable	usage	treat
19	1	16	0.013669	2BrLSD_0.3
2	1	16	0.001920	2BrLSD_0.3
13	1	16	0.009048	2BrLSD_0.3
18	0	16	0.025120	Saline
17	2	16	0.001567	2BrLSD_1
5	1	16	0.018387	2BrLSD_0.3
12	0	16	0.035999	Saline
4	0	16	0.051784	Saline
22	1	16	0.010279	2BrLSD_0.3
8	1	16	0.002502	2BrLSD_0.3
6	2	16	0.013921	2BrLSD_1
23	2	16	0.012828	2BrLSD_1
11	1	16	0.012463	2BrLSD_0.3
9	2	16	0.005432	2BrLSD_1
3	2	16	0.006523	2BrLSD_1
15	0	16	0.023013	Saline
7	0	16	0.015567	Saline
20	2	16	0.006984	2BrLSD_1
14	2	16	0.006298	2BrLSD_1
16	1	16	0.018307	2BrLSD_0.3
21	0	16	0.026973	Saline
10	0	16	0.015875	Saline
1	0	17	0.059829	Saline
19	1	17	0.008543	2BrLSD_0.3
2	1	17	0.000873	2BrLSD_0.3
13	1	17	0.014600	2BrLSD_0.3
18	0	17	0.018873	Saline
17	2	17	0.001175	2BrLSD_1
5	1	17	0.014928	2BrLSD_0.3
12	0	17	0.022183	Saline
4	0	17	0.037623	Saline
22	1	17	0.010463	2BrLSD_0.3
8	1	17	0.000227	2BrLSD_0.3
6	2	17	0.008991	2BrLSD_1
23	2	17	0.005498	2BrLSD_1
11	1	17	0.002418	2BrLSD_0.3
9	2	17	0.011769	2BrLSD_1
3	2	17	0.007866	2BrLSD_1
15	0	17	0.017458	Saline
7	0	17	0.012849	Saline
20	2	17	0.000333	2BrLSD_1
14	2	17	0.000630	2BrLSD_1
16	1	17	0.013158	2BrLSD_0.3
21	0	17	0.022942	Saline
10	0	17	0.026883	Saline
1	0	18	0.016619	Saline
19	1	18	0.011320	2BrLSD_0.3
2	1	18	0.007332	2BrLSD_0.3
13	1	18	0.011516	2BrLSD_0.3
18	0	18	0.020601	Saline
17	2	18	0.006267	2BrLSD_1
5	1	18	0.014382	2BrLSD_0.3
12	0	18	0.026366	Saline
4	0	18	0.010690	Saline
22	1	18	0.017988	2BrLSD_0.3
8	1	18	0.024113	2BrLSD_0.3
6	2	18	0.012761	2BrLSD_1
23	2	18	0.009570	2BrLSD_1
11	1	18	0.023624	2BrLSD_0.3
9	2	18	0.012493	2BrLSD_1
3	2	18	0.007675	2BrLSD_1
15	0	18	0.021029	Saline
7	0	18	0.019274	Saline
20	2	18	0.016295	2BrLSD_1
14	2	18	0.010550	2BrLSD_1
16	1	18	0.017162	2BrLSD_0.3
21	0	18	0.015812	Saline
10	0	18	0.016918	Saline
1	0	19	0.008230	Saline
19	1	19	0.013669	2BrLSD_0.3
2	1	19	0.033869	2BrLSD_0.3
13	1	19	0.017890	2BrLSD_0.3
18	0	19	0.002924	Saline
17	2	19	0.019585	2BrLSD_1
5	1	19	0.017113	2BrLSD_0.3
12	0	19	0.003296	Saline
4	0	19	0.002777	Saline
22	1	19	0.013767	2BrLSD_0.3
8	1	19	0.013194	2BrLSD_0.3
6	2	19	0.018271	2BrLSD_1
23	2	19	0.070454	2BrLSD_1
11	1	19	0.023624	2BrLSD_0.3
9	2	19	0.025167	2BrLSD_1
3	2	19	0.027820	2BrLSD_1
15	0	19	0.008464	Saline
7	0	19	0.003459	Saline
20	2	19	0.020286	2BrLSD_1
14	2	19	0.027397	2BrLSD_1
16	1	19	0.022121	2BrLSD_0.3
21	0	19	0.004340	Saline
10	0	19	0.003360	Saline
1	0	20	0.012979	Saline
19	1	20	0.002563	2BrLSD_0.3
2	1	20	0.002619	2BrLSD_0.3
13	1	20	0.006992	2BrLSD_0.3
18	0	20	0.015417	Saline
17	2	20	0.000783	2BrLSD_1
5	1	20	0.006008	2BrLSD_0.3
12	0	20	0.043098	Saline
4	0	20	0.031376	Saline
22	1	20	0.008443	2BrLSD_0.3
8	1	20	0.009327	2BrLSD_0.3
6	2	20	0.005220	2BrLSD_1
23	2	20	0.006109	2BrLSD_1
11	1	20	0.016369	2BrLSD_0.3
9	2	20	0.002354	2BrLSD_1
3	2	20	0.001727	2BrLSD_1
15	0	20	0.033064	Saline
7	0	20	0.033852	Saline
20	2	20	0.006984	2BrLSD_1
14	2	20	0.003464	2BrLSD_1
16	1	20	0.010297	2BrLSD_0.3
21	0	20	0.019842	Saline
10	0	20	0.014021	Saline
1	0	21	0.001108	Saline
19	1	21	0.025416	2BrLSD_0.3
2	1	21	0.016061	2BrLSD_0.3
13	1	21	0.016039	2BrLSD_0.3
18	0	21	0.001329	Saline
17	2	21	0.047395	2BrLSD_1
5	1	21	0.005826	2BrLSD_0.3
12	0	21	0.001394	Saline
4	0	21	0.002777	Saline
22	1	21	0.021109	2BrLSD_0.3
8	1	21	0.021838	2BrLSD_0.3
6	2	21	0.017111	2BrLSD_1
23	2	21	0.047852	2BrLSD_1
11	1	21	0.055618	2BrLSD_0.3
9	2	21	0.008691	2BrLSD_1
3	2	21	0.015157	2BrLSD_1
15	0	21	0.004232	Saline
7	0	21	0.001977	Saline
20	2	21	0.077486	2BrLSD_1
14	2	21	0.024878	2BrLSD_1
16	1	21	0.015828	2BrLSD_0.3
21	0	21	0.002325	Saline
10	0	21	0.001390	Saline
1	0	22	0.006489	Saline
19	1	22	0.010679	2BrLSD_0.3
2	1	22	0.019902	2BrLSD_0.3
13	1	22	0.014600	2BrLSD_0.3
18	0	22	0.006380	Saline
17	2	22	0.019585	2BrLSD_1
5	1	22	0.018205	2BrLSD_0.3
12	0	22	0.003930	Saline
4	0	22	0.004720	Saline
22	1	22	0.031938	2BrLSD_0.3
8	1	22	0.021383	2BrLSD_0.3
6	2	22	0.019722	2BrLSD_1
23	2	22	0.016494	2BrLSD_1
11	1	22	0.024182	2BrLSD_0.3
9	2	22	0.011045	2BrLSD_1
3	2	22	0.029355	2BrLSD_1
15	0	22	0.005290	Saline
7	0	22	0.015444	Saline
20	2	22	0.039574	2BrLSD_1
14	2	22	0.021571	2BrLSD_1
16	1	22	0.012777	2BrLSD_0.3
21	0	22	0.007131	Saline
10	0	22	0.012051	Saline
1	0	23	0.028332	Saline
19	1	23	0.010466	2BrLSD_0.3
2	1	23	0.004888	2BrLSD_0.3
13	1	23	0.008637	2BrLSD_0.3
18	0	23	0.019006	Saline
17	2	23	0.001958	2BrLSD_1
5	1	23	0.005279	2BrLSD_0.3
12	0	23	0.015591	Saline
4	0	23	0.023046	Saline
22	1	23	0.013216	2BrLSD_0.3
8	1	23	0.013194	2BrLSD_0.3
6	2	23	0.007831	2BrLSD_1
23	2	23	0.006516	2BrLSD_1
11	1	23	0.012835	2BrLSD_0.3
9	2	23	0.011588	2BrLSD_1
3	2	23	0.004413	2BrLSD_1
15	0	23	0.027510	Saline
7	0	23	0.027675	Saline
20	2	23	0.018291	2BrLSD_1
14	2	23	0.007085	2BrLSD_1
16	1	23	0.015065	2BrLSD_0.3
21	0	23	0.012401	Saline
10	0	23	0.013673	Saline
1	0	24	0.045742	Saline
19	1	24	0.054464	2BrLSD_0.3
2	1	24	0.012570	2BrLSD_0.3
13	1	24	0.008637	2BrLSD_0.3
18	0	24	0.011696	Saline
17	2	24	0.003525	2BrLSD_1
5	1	24	0.008010	2BrLSD_0.3
12	0	24	0.002789	Saline
4	0	24	0.007636	Saline
22	1	24	0.017988	2BrLSD_0.3
8	1	24	0.015014	2BrLSD_0.3
6	2	24	0.023782	2BrLSD_1
23	2	24	0.012421	2BrLSD_1
11	1	24	0.002604	2BrLSD_0.3
9	2	24	0.030418	2BrLSD_1
3	2	24	0.019954	2BrLSD_1
15	0	24	0.003174	Saline
7	0	24	0.005313	Saline
20	2	24	0.004323	2BrLSD_1
14	2	24	0.011337	2BrLSD_1
16	1	24	0.032227	2BrLSD_0.3
21	0	24	0.004185	Saline
10	0	24	0.005678	Saline
1	0	25	0.013770	Saline
19	1	25	0.017727	2BrLSD_0.3
2	1	25	0.005587	2BrLSD_0.3
13	1	25	0.014600	2BrLSD_0.3
18	0	25	0.019272	Saline
17	2	25	0.005484	2BrLSD_1
5	1	25	0.023849	2BrLSD_0.3
12	0	25	0.009887	Saline
4	0	25	0.012078	Saline
22	1	25	0.019640	2BrLSD_0.3
8	1	25	0.008417	2BrLSD_0.3
6	2	25	0.024652	2BrLSD_1
23	2	25	0.020362	2BrLSD_1
11	1	25	0.008557	2BrLSD_0.3
9	2	25	0.018649	2BrLSD_1
3	2	25	0.017652	2BrLSD_1
15	0	25	0.011374	Saline
7	0	25	0.008895	Saline
20	2	25	0.028932	2BrLSD_1
14	2	25	0.005039	2BrLSD_1
16	1	25	0.012777	2BrLSD_0.3
21	0	25	0.009921	Saline
10	0	25	0.018192	Saline
1	0	26	0.000950	Saline
19	1	26	0.010466	2BrLSD_0.3
2	1	26	0.019204	2BrLSD_0.3
13	1	26	0.012544	2BrLSD_0.3
18	0	26	0.003456	Saline
17	2	26	0.035644	2BrLSD_1
5	1	26	0.004551	2BrLSD_0.3
12	0	26	0.001521	Saline
4	0	26	0.006942	Saline
22	1	26	0.017621	2BrLSD_0.3
8	1	26	0.045723	2BrLSD_0.3
6	2	26	0.013921	2BrLSD_1
23	2	26	0.021788	2BrLSD_1
11	1	26	0.055432	2BrLSD_0.3
9	2	26	0.007786	2BrLSD_1
3	2	26	0.013431	2BrLSD_1
15	0	26	0.001984	Saline
7	0	26	0.002100	Saline
20	2	26	0.087463	2BrLSD_1
14	2	26	0.020942	2BrLSD_1
16	1	26	0.015065	2BrLSD_0.3
21	0	26	0.007286	Saline
10	0	26	0.000695	Saline
1	0	27	0.003324	Saline
19	1	27	0.009184	2BrLSD_0.3
2	1	27	0.046089	2BrLSD_0.3
13	1	27	0.009254	2BrLSD_0.3
18	0	27	0.003323	Saline
17	2	27	0.014884	2BrLSD_1
5	1	27	0.011287	2BrLSD_0.3
12	0	27	0.004310	Saline
4	0	27	0.004859	Saline
22	1	27	0.005140	2BrLSD_0.3
8	1	27	0.015696	2BrLSD_0.3
6	2	27	0.008121	2BrLSD_1
23	2	27	0.063124	2BrLSD_1
11	1	27	0.018787	2BrLSD_0.3
9	2	27	0.027521	2BrLSD_1
3	2	27	0.006140	2BrLSD_1
15	0	27	0.009523	Saline
7	0	27	0.005683	Saline
20	2	27	0.012305	2BrLSD_1
14	2	27	0.025665	2BrLSD_1
16	1	27	0.027651	2BrLSD_0.3
21	0	27	0.003255	Saline
10	0	27	0.003708	Saline
1	0	28	0.047800	Saline
19	1	28	0.015378	2BrLSD_0.3
2	1	28	0.003666	2BrLSD_0.3
13	1	28	0.013983	2BrLSD_0.3
18	0	28	0.018607	Saline
17	2	28	0.002350	2BrLSD_1
5	1	28	0.012015	2BrLSD_0.3
12	0	28	0.005958	Saline
4	0	28	0.009579	Saline
22	1	28	0.007893	2BrLSD_0.3
8	1	28	0.004550	2BrLSD_0.3
6	2	28	0.024072	2BrLSD_1
23	2	28	0.006516	2BrLSD_1
11	1	28	0.004092	2BrLSD_0.3
9	2	28	0.036755	2BrLSD_1
3	2	28	0.021105	2BrLSD_1
15	0	28	0.006216	Saline
7	0	28	0.008648	Saline
20	2	28	0.001330	2BrLSD_1
14	2	28	0.003621	2BrLSD_1
16	1	28	0.025934	2BrLSD_0.3
21	0	28	0.010851	Saline
10	0	28	0.012630	Saline
1	0	29	0.036246	Saline
19	1	29	0.015378	2BrLSD_0.3
2	1	29	0.004714	2BrLSD_0.3
13	1	29	0.009459	2BrLSD_0.3
18	0	29	0.015816	Saline
17	2	29	0.000392	2BrLSD_1
5	1	29	0.019661	2BrLSD_0.3
12	0	29	0.014070	Saline
4	0	29	0.011384	Saline
22	1	29	0.005690	2BrLSD_0.3
8	1	29	0.005460	2BrLSD_0.3
6	2	29	0.007541	2BrLSD_1
23	2	29	0.006720	2BrLSD_1
11	1	29	0.005208	2BrLSD_0.3
9	2	29	0.011588	2BrLSD_1
3	2	29	0.006907	2BrLSD_1
15	0	29	0.014284	Saline
7	0	29	0.013220	Saline
20	2	29	0.000333	2BrLSD_1
14	2	29	0.003149	2BrLSD_1
16	1	29	0.015637	2BrLSD_0.3
21	0	29	0.016432	Saline
10	0	29	0.017034	Saline
1	0	30	0.013295	Saline
19	1	30	0.019223	2BrLSD_0.3
2	1	30	0.005761	2BrLSD_0.3
13	1	30	0.022209	2BrLSD_0.3
18	0	30	0.009968	Saline
17	2	30	0.001958	2BrLSD_1
5	1	30	0.015838	2BrLSD_0.3
12	0	30	0.009507	Saline
4	0	30	0.014994	Saline
22	1	30	0.010463	2BrLSD_0.3
8	1	30	0.008417	2BrLSD_0.3
6	2	30	0.013631	2BrLSD_1
23	2	30	0.004683	2BrLSD_1
11	1	30	0.006138	2BrLSD_0.3
9	2	30	0.011588	2BrLSD_1
3	2	30	0.008442	2BrLSD_1
15	0	30	0.019706	Saline
7	0	30	0.006425	Saline
20	2	30	0.003326	2BrLSD_1
14	2	30	0.001732	2BrLSD_1
16	1	30	0.014683	2BrLSD_0.3
21	0	30	0.023717	Saline
10	0	30	0.008227	Saline
1	0	31	0.022159	Saline
19	1	31	0.001922	2BrLSD_0.3
2	1	31	0.002270	2BrLSD_0.3
13	1	31	0.009048	2BrLSD_0.3
18	0	31	0.005449	Saline
17	2	31	0.000000	2BrLSD_1
5	1	31	0.006918	2BrLSD_0.3
12	0	31	0.035492	Saline
4	0	31	0.030959	Saline
22	1	31	0.005140	2BrLSD_0.3
8	1	31	0.004550	2BrLSD_0.3
6	2	31	0.007541	2BrLSD_1
23	2	31	0.003054	2BrLSD_1
11	1	31	0.004278	2BrLSD_0.3
9	2	31	0.003802	2BrLSD_1
3	2	31	0.004029	2BrLSD_1
15	0	31	0.014813	Saline
