subject	group	syllable	usage	treat
8	1	17	0.004331	Psilo_0.3
24	2	18	0.015127	Psilo_1
21	2	18	0.016238	Psilo_1
7	0	18	0.015802	Saline
1	0	18	0.004810	Saline
9	2	18	0.015749	Psilo_1
11	1	18	0.015053	Psilo_0.3
19	0	18	0.008331	Saline
20	1	18	0.021150	Psilo_0.3
16	0	18	0.003478	Saline
15	2	18	0.019791	Psilo_1
14	1	18	0.016965	Psilo_0.3
6	2	18	0.019912	Psilo_1
18	2	18	0.012979	Psilo_1
13	0	18	0.016594	Saline
4	0	18	0.025943	Saline
17	1	18	0.009366	Psilo_0.3
22	0	18	0.008713	Saline
2	1	18	0.019025	Psilo_0.3
10	0	18	0.026890	Saline
23	1	18	0.013270	Psilo_0.3
12	2	18	0.027539	Psilo_1
3	2	18	0.023157	Psilo_1
5	1	18	0.013077	Psilo_0.3
8	1	18	0.012156	Psilo_0.3
24	2	19	0.009554	Psilo_1
21	2	19	0.018382	Psilo_1
7	0	19	0.019968	Saline
1	0	19	0.010421	Saline
9	2	19	0.007933	Psilo_1
11	1	19	0.016680	Psilo_0.3
19	0	19	0.012497	Saline
20	1	19	0.019752	Psilo_0.3
16	0	19	0.007923	Saline
15	2	19	0.014294	Psilo_1
14	1	19	0.027568	Psilo_0.3
6	2	19	0.015356	Psilo_1
18	2	19	0.014399	Psilo_1
13	0	19	0.011878	Saline
4	0	19	0.011161	Saline
17	1	19	0.038973	Psilo_0.3
22	0	19	0.022193	Saline
2	1	19	0.016387	Psilo_0.3
10	0	19	0.013287	Saline
23	1	19	0.018431	Psilo_0.3
12	2	19	0.011456	Psilo_1
3	2	19	0.002974	Psilo_1
5	1	19	0.021023	Psilo_0.3
8	1	19	0.012575	Psilo_0.3
24	2	20	0.011677	Psilo_1
21	2	20	0.008578	Psilo_1
7	0	20	0.015802	Saline
1	0	20	0.003741	Saline
9	2	20	0.011083	Psilo_1
11	1	20	0.006509	Psilo_0.3
19	0	20	0.013232	Saline
20	1	20	0.027268	Psilo_0.3
16	0	20	0.000580	Saline
15	2	20	0.014110	Psilo_1
14	1	20	0.028511	Psilo_0.3
6	2	20	0.019744	Psilo_1
18	2	20	0.012979	Psilo_1
13	0	20	0.001921	Saline
4	0	20	0.020513	Saline
17	1	20	0.040483	Psilo_0.3
22	0	20	0.005589	Saline
2	1	20	0.009999	Psilo_0.3
10	0	20	0.016450	Saline
23	1	20	0.011943	Psilo_0.3
12	2	20	0.039877	Psilo_1
3	2	20	0.061823	Psilo_1
5	1	20	0.006456	Psilo_0.3
8	1	20	0.009361	Psilo_0.3
24	2	21	0.013800	Psilo_1
21	2	21	0.015931	Psilo_1
7	0	21	0.009050	Saline
1	0	21	0.007749	Saline
9	2	21	0.010849	Psilo_1
11	1	21	0.019731	Psilo_0.3
19	0	21	0.005391	Saline
20	1	21	0.013984	Psilo_0.3
16	0	21	0.002126	Saline
15	2	21	0.045263	Psilo_1
14	1	21	0.019557	Psilo_0.3
6	2	21	0.018225	Psilo_1
18	2	21	0.012979	Psilo_1
13	0	21	0.016943	Saline
4	0	21	0.010407	Saline
17	1	21	0.017825	Psilo_0.3
22	0	21	0.007069	Saline
2	1	21	0.022497	Psilo_0.3
10	0	21	0.008225	Saline
23	1	21	0.013860	Psilo_0.3
12	2	21	0.015422	Psilo_1
3	2	21	0.009985	Psilo_1
5	1	21	0.022678	Psilo_0.3
8	1	21	0.008383	Psilo_0.3
24	2	22	0.009289	Psilo_1
21	2	22	0.004289	Psilo_1
7	0	22	0.014653	Saline
1	0	22	0.025384	Saline
9	2	22	0.049930	Psilo_1
11	1	22	0.004679	Psilo_0.3
19	0	22	0.003921	Saline
20	1	22	0.021150	Psilo_0.3
16	0	22	0.010531	Saline
15	2	22	0.010079	Psilo_1
14	1	22	0.002121	Psilo_0.3
6	2	22	0.006244	Psilo_1
18	2	22	0.011560	Psilo_1
13	0	22	0.010306	Saline
4	0	22	0.014027	Saline
17	1	22	0.004230	Psilo_0.3
22	0	22	0.010850	Saline
2	1	22	0.012915	Psilo_0.3
10	0	22	0.007118	Saline
23	1	22	0.009289	Psilo_0.3
12	2	22	0.017184	Psilo_1
3	2	22	0.001700	Psilo_1
5	1	22	0.010594	Psilo_0.3
8	1	22	0.014112	Psilo_0.3
24	2	23	0.007696	Psilo_1
21	2	23	0.005821	Psilo_1
7	0	23	0.007758	Saline
1	0	23	0.033133	Saline
9	2	23	0.060663	Psilo_1
11	1	23	0.009154	Psilo_0.3
19	0	23	0.003185	Saline
20	1	23	0.008041	Psilo_0.3
16	0	23	0.014203	Saline
15	2	23	0.004032	Psilo_1
14	1	23	0.003770	Psilo_0.3
6	2	23	0.007594	Psilo_1
18	2	23	0.011154	Psilo_1
13	0	23	0.009083	Saline
4	0	23	0.007843	Saline
17	1	23	0.006042	Psilo_0.3
22	0	23	0.006411	Saline
2	1	23	0.009721	Psilo_0.3
10	0	23	0.011863	Saline
23	1	23	0.008552	Psilo_0.3
12	2	23	0.007050	Psilo_1
3	2	23	0.004886	Psilo_1
5	1	23	0.008939	Psilo_0.3
8	1	23	0.017465	Psilo_0.3
24	2	24	0.008493	Psilo_1
21	2	24	0.006434	Psilo_1
7	0	24	0.013216	Saline
1	0	24	0.008283	Saline
9	2	24	0.028115	Psilo_1
11	1	24	0.005899	Psilo_0.3
19	0	24	0.002205	Saline
20	1	24	0.009963	Psilo_0.3
16	0	24	0.003092	Saline
15	2	24	0.023456	Psilo_1
14	1	24	0.011074	Psilo_0.3
6	2	24	0.010294	Psilo_1
18	2	24	0.011965	Psilo_1
13	0	24	0.018690	Saline
4	0	24	0.007994	Saline
17	1	24	0.010876	Psilo_0.3
22	0	24	0.013151	Saline
2	1	24	0.018192	Psilo_0.3
10	0	24	0.002531	Saline
23	1	24	0.018284	Psilo_0.3
12	2	24	0.034148	Psilo_1
3	2	24	0.004461	Psilo_1
5	1	24	0.026320	Psilo_0.3
8	1	24	0.009641	Psilo_0.3
24	2	25	0.012208	Psilo_1
21	2	25	0.009804	Psilo_1
7	0	25	0.003879	Saline
1	0	25	0.001069	Saline
9	2	25	0.007699	Psilo_1
11	1	25	0.006916	Psilo_0.3
19	0	25	0.008086	Saline
20	1	25	0.012585	Psilo_0.3
16	0	25	0.000580	Saline
15	2	25	0.020524	Psilo_1
14	1	25	0.046418	Psilo_0.3
6	2	25	0.011475	Psilo_1
18	2	25	0.009937	Psilo_1
13	0	25	0.002795	Saline
4	0	25	0.007391	Saline
17	1	25	0.025378	Psilo_0.3
22	0	25	0.001480	Saline
2	1	25	0.013331	Psilo_0.3
10	0	25	0.005853	Saline
23	1	25	0.005013	Psilo_0.3
12	2	25	0.043842	Psilo_1
3	2	25	0.077757	Psilo_1
5	1	25	0.005297	Psilo_0.3
8	1	25	0.003493	Psilo_0.3
24	2	26	0.005839	Psilo_1
21	2	26	0.012561	Psilo_1
7	0	26	0.018675	Saline
1	0	26	0.022178	Saline
9	2	26	0.007350	Psilo_1
11	1	26	0.010374	Psilo_0.3
19	0	26	0.003431	Saline
20	1	26	0.009614	Psilo_0.3
16	0	26	0.015845	Saline
15	2	26	0.003848	Psilo_1
14	1	26	0.011310	Psilo_0.3
6	2	26	0.013669	Psilo_1
18	2	26	0.012371	Psilo_1
13	0	26	0.014148	Saline
4	0	26	0.016139	Saline
17	1	26	0.004834	Psilo_0.3
22	0	26	0.025974	Saline
2	1	26	0.004166	Psilo_0.3
10	0	26	0.020721	Saline
23	1	26	0.005603	Psilo_0.3
12	2	26	0.003305	Psilo_1
3	2	26	0.001700	Psilo_1
5	1	26	0.009104	Psilo_0.3
8	1	26	0.012575	Psilo_0.3
24	2	27	0.000000	Psilo_1
21	2	27	0.000000	Psilo_1
7	0	27	0.000000	Saline
1	0	27	0.000000	Saline
9	2	27	0.000000	Psilo_1
11	1	27	0.000000	Psilo_0.3
19	0	27	0.000000	Saline
20	1	27	0.000000	Psilo_0.3
16	0	27	0.155459	Saline
15	2	27	0.000000	Psilo_1
14	1	27	0.000000	Psilo_0.3
6	2	27	0.000000	Psilo_1
18	2	27	0.000000	Psilo_1
13	0	27	0.000000	Saline
4	0	27	0.000000	Saline
17	1	27	0.000000	Psilo_0.3
22	0	27	0.000000	Saline
2	1	27	0.000000	Psilo_0.3
10	0	27	0.000000	Saline
23	1	27	0.000000	Psilo_0.3
12	2	27	0.000000	Psilo_1
3	2	27	0.000000	Psilo_1
5	1	27	0.000000	Psilo_0.3
8	1	27	0.000000	Psilo_0.3
24	2	28	0.012473	Psilo_1
21	2	28	0.010417	Psilo_1
7	0	28	0.016808	Saline
1	0	28	0.009218	Saline
9	2	28	0.012832	Psilo_1
11	1	28	0.009154	Psilo_0.3
19	0	28	0.006371	Saline
20	1	28	0.014683	Psilo_0.3
16	0	28	0.004058	Saline
15	2	28	0.008246	Psilo_1
14	1	28	0.009425	Psilo_0.3
6	2	28	0.010125	Psilo_1
18	2	28	0.018252	Psilo_1
13	0	28	0.004541	Saline
4	0	28	0.020965	Saline
17	1	28	0.007855	Psilo_0.3
22	0	28	0.008384	Saline
2	1	28	0.010693	Psilo_0.3
10	0	28	0.022619	Saline
23	1	28	0.008994	Psilo_0.3
12	2	28	0.011236	Psilo_1
3	2	28	0.017633	Psilo_1
5	1	28	0.006125	Psilo_0.3
8	1	28	0.009222	Psilo_0.3
24	2	29	0.001592	Psilo_1
21	2	29	0.004596	Psilo_1
7	0	29	0.022985	Saline
1	0	29	0.008684	Saline
9	2	29	0.012016	Psilo_1
11	1	29	0.006713	Psilo_0.3
19	0	29	0.000980	Saline
20	1	29	0.014158	Psilo_0.3
16	0	29	0.002899	Saline
15	2	29	0.002566	Psilo_1
14	1	29	0.005655	Psilo_0.3
6	2	29	0.007931	Psilo_1
18	2	29	0.009734	Psilo_1
13	0	29	0.006638	Saline
4	0	29	0.035143	Saline
17	1	29	0.003021	Psilo_0.3
22	0	29	0.015782	Saline
2	1	29	0.012776	Psilo_0.3
10	0	29	0.028472	Saline
23	1	29	0.012533	Psilo_0.3
12	2	29	0.005728	Psilo_1
3	2	29	0.001700	Psilo_1
5	1	29	0.004138	Psilo_0.3
8	1	29	0.017885	Psilo_0.3
24	2	30	0.040074	Psilo_1
21	2	30	0.000919	Psilo_1
7	0	30	0.012786	Saline
1	0	30	0.010955	Saline
9	2	30	0.017615	Psilo_1
11	1	30	0.003662	Psilo_0.3
19	0	30	0.009802	Saline
20	1	30	0.023772	Psilo_0.3
16	0	30	0.019130	Saline
15	2	30	0.003665	Psilo_1
14	1	30	0.000707	Psilo_0.3
6	2	30	0.001181	Psilo_1
18	2	30	0.009532	Psilo_1
13	0	30	0.002620	Saline
4	0	30	0.011463	Saline
17	1	30	0.003021	Psilo_0.3
22	0	30	0.005425	Saline
2	1	30	0.014720	Psilo_0.3
10	0	30	0.007276	Saline
23	1	30	0.023297	Psilo_0.3
12	2	30	0.011677	Psilo_1
3	2	30	0.000637	Psilo_1
5	1	30	0.003807	Psilo_0.3
8	1	30	0.010060	Psilo_0.3
24	2	31	0.001858	Psilo_1
21	2	31	0.002145	Psilo_1
7	0	31	0.021836	Saline
1	0	31	0.024983	Saline
9	2	31	0.012716	Psilo_1
11	1	31	0.004475	Psilo_0.3
19	0	31	0.001715	Saline
20	1	31	0.008915	Psilo_0.3
16	0	31	0.021063	Saline
15	2	31	0.000733	Psilo_1
14	1	31	0.001414	Psilo_0.3
6	2	31	0.005400	Psilo_1
18	2	31	0.013385	Psilo_1
13	0	31	0.004891	Saline
4	0	31	0.019759	Saline
17	1	31	0.001813	Psilo_0.3
22	0	31	0.017919	Saline
2	1	31	0.002916	Psilo_0.3
10	0	31	0.029737	Saline
23	1	31	0.002949	Psilo_0.3
12	2	31	0.000881	Psilo_1
3	2	31	0.002337	Psilo_1
5	1	31	0.000993	Psilo_0.3
8	1	31	0.016767	Psilo_0.3
24	2	32	0.003450	Psilo_1
21	2	32	0.007353	Psilo_1
7	0	32	0.010774	Saline
1	0	32	0.004542	Saline
9	2	32	0.038381	Psilo_1
11	1	32	0.002441	Psilo_0.3
19	0	32	0.003921	Saline
20	1	32	0.025520	Psilo_0.3
16	0	32	0.001449	Saline
15	2	32	0.011178	Psilo_1
14	1	32	0.008483	Psilo_0.3
6	2	32	0.007762	Psilo_1
18	2	32	0.010140	Psilo_1
13	0	32	0.006987	Saline
4	0	32	0.011011	Saline
17	1	32	0.007251	Psilo_0.3
22	0	32	0.003945	Saline
2	1	32	0.010693	Psilo_0.3
10	0	32	0.005694	Saline
23	1	32	0.013565	Psilo_0.3
12	2	32	0.031064	Psilo_1
